feature,mutual_information,weight_alpha,alpha
X38,0.221970784285475,0.006569302136017227,2.0
X111,0.22059385314827695,0.006488053414936579,2.0
X37,0.21986731571917462,0.006445386305363763,2.0
X174,0.2195826166581356,0.0064287052685746545,2.0
X16,0.21944373237311376,0.006420575628903419,2.0
X175,0.21893673585191253,0.0063909420722614305,2.0
X128,0.21787307844723447,0.006328994861188489,2.0
X157,0.217736038796859,0.0063210356357437224,2.0
X158,0.21756067168805382,0.006310857666582591,2.0
X114,0.21753044166766067,0.006309104003108054,2.0
X126,0.21751897656677688,0.006308438968760624,2.0
X39,0.2169167718311198,0.006273557294300704,2.0
X36,0.2166726942583126,0.0062594470607601925,2.0
X14,0.2161839611272005,0.006231240932037795,2.0
X3,0.2159023319514124,0.006215016267087011,2.0
X112,0.21556982468849206,0.006195887740679352,2.0
X144,0.21539264365268584,0.006185706884799669,2.0
X51,0.21522867213243702,0.006176292508568675,2.0
X113,0.21512366854499332,0.006170267524404167,2.0
X101,0.21472099166742664,0.006147189648602491,2.0
X43,0.2146406993428256,0.006142593173333421,2.0
X84,0.21460058509445457,0.0061402974066539304,2.0
X31,0.21406546313623132,0.006109713042013017,2.0
X35,0.2139637897733695,0.006103910634287896,2.0
X54,0.21380143515657002,0.006094650917109096,2.0
X152,0.21363465565159512,0.006085146150150975,2.0
X166,0.213627046012542,0.006084712653619768,2.0
X15,0.2135828051897719,0.006082192702844997,2.0
X145,0.21336472108654103,0.00606977829197562,2.0
X23,0.21331045842563823,0.0060666913670330185,2.0
X162,0.2129551886551262,0.0060464999781677424,2.0
X50,0.21275671435810928,0.006035234550871882,2.0
X160,0.21233656763609376,0.006011421621464672,2.0
X41,0.21228137014093962,0.006008296655366435,2.0
X44,0.2121845509050746,0.0060028172670165605,2.0
X71,0.21217276612397784,0.0060021504896980125,2.0
X115,0.2120849126441775,0.005997180948639887,2.0
X58,0.21198752828181178,0.005991674686561596,2.0
X153,0.2119532369899626,0.00598973640604927,2.0
